,sub_chapter,keywords
0,-2.7,"['lab', 'economists', 'con2dis', 'polynomials', 'microprocessor', 'classes', 'algebraic', 'integers', 'microprocessors', 'homework']"
1,-2.6,"['sinusoids', 'exponential', 'commutative', 'mathematical', 'sinusoidal', 'hundreds', 'polynomial', 'arithmetic', 'multiplications', 'integers']"
2,-2.5,"['designing', 'tools', 'computing', 'equations', 'polynomial', 'compilers', 'integers', 'algebraic', 'arithmetic', 'mathematical']"
3,-2.4,"['optimized', 'pairwise', 'homework', 'practical', 'tools', 'polynomials', 'multiplications', 'polynomial', 'integers', 'mathematical']"
4,-2.3,"['economists', 'computing', 'transform', 'superimpose', 'sinusoidal', 'integers', 'arithmetic', 'exponential', 'polynomial', 'mathematical']"
5,-2.2,"['complex', 'sinusoidal', 'shading', 'equations', 'tools', 'algorithms', 'polynomial', 'arithmetic', 'integers', 'mathematical']"
6,-2.1,"['economists', 'computing', 'multiplying', 'con2dis', 'commutative', 'arithmetic', 'polynomial', 'mathematical', 'algebraic', 'integers']"
7,-2.0,"['economists', 'tableau', 'compilers', 'homework', 'matlab', 'polynomial', 'polynomials', 'algebraic', 'arithmetic', 'integers']"
8,-1.7,"['smoother', 'reconsider', 'laboratory', 'useful', 'worthwhile', 'mathematical', 'matlab', 'microprocessors', 'homework', 'tools']"
9,-1.6,"['laboratory', 'notation', 'lab', 'multiplications', 'application', 'tools', 'homework', 'computer', 'microprocessors', 'matlab']"
10,-1.5,"['economists', 'text', 'engineering', 'polynomials', 'arithmetic', 'con2dis', 'tools', 'homework', 'microprocessor', 'microprocessors']"
11,-1.4,"['reconstruction', 'microprocessor', 'polynomial', 'microprocessors', 'tools', 'polynomials', 'arithmetic', 'homework', 'mathematical', 'matlab']"
12,-1.3,"['slide', 'superimpose', 'shading', 'integers', 'con2dis', 'lab', 'pipelining', 'polynomials', 'microprocessors', 'mathematical']"
13,-1.2,"['integers', 'tools', 'multiplying', 'pipelining', 'microprocessor', 'microprocessors', 'polynomials', 'mathematical', 'arithmetic', 'matlab']"
14,-1.1,"['filters', 'translate', 'graph', 'demonstrations', 'computer', 'tools', 'motivate', 'computing', 'compilers', 'matlab']"
15,-1.0,"['multiplications', 'class', 'computer', 'arithmetic', 'tools', 'classes', 'microprocessors', 'mathematical', 'homework', 'lab']"
16,1.0,"['tools', 'text', 'insight', 'daily', 'matlab', 'engineering', 'reader', 'computing', 'audio', 'algorithms']"
17,1.1,"['insights', 'converter', 'engineering', 'commutative', 'shading', 'multipliers', 'pipelining', 'signal', 'algorithms', 'audio']"
18,1.2,"['motivate', 'reconstruction', 'demonstrations', 'insight', 'transforming', 'engineering', 'algorithms', 'ideas', 'mathematically', 'mathematical']"
19,1.3,"['tools', 'lab', 'algebraic', 'optimized', 'microprocessors', 'mathematical', 'polynomials', 'multiplications', 'audio', 'reconsider']"
20,1.4,"['polynomial', 'homework', 'simplifications', 'demo', 'lab', 'integers', 'audio', 'cd', 'arithmetic', 'microprocessors']"
21,2.0,"['polynomial', 'lead', 'integers', 'crucial', 'tools', 'lab', 'matlab', 'arithmetic', 'con2dis', 'pairwise']"
22,2.1,"['insight', 'complicated', 'necessary', 'tools', 'worthwhile', 'shading', 'mathematical', 'audio', 'engineering', 'algorithms']"
23,2.2,"['microprocessor', 'reconsider', 'algebraic', 'integers', 'homework', 'microprocessors', 'polynomial', 'sinusoidal', 'tools', 'shading']"
24,2.3,"['mathematical', 'big', 'arrows', 'multipliers', 'cd', 'integers', 'billions', 'algorithms', 'sinusoidal', 'polynomials']"
25,2.4,"['integers', 'equations', 'polynomial', 'microprocessor', 'homework', 'microprocessors', 'polynomials', 'matlab', 'arithmetic', 'mathematical']"
26,2.5,"['polynomials', 'optimized', 'fast', 'tools', 'polynomial', 'shading', 'engineering', 'useful', 'arithmetic', 'mathematical']"
27,2.6,"['multiplications', 'polynomials', 'converter', 'engineering', 'sinusoidal', 'interconnection', 'overflow', 'shading', 'algorithms', 'reconsider']"
28,2.7,"['reconsider', 'pipelining', 'arrows', 'laboratory', 'tools', 'slide', 'audio', 'lab', 'insight', 'mathematical']"
29,2.8,"['engineering', 'audio', 'commutative', 'clock', 'designing', 'interconnection', 'converter', 'reordering', 'algorithms', 'reconsider']"
30,2.9,"['commutative', 'algebraic', 'engineering', 'polynomials', 'con2dis', 'lab', 'microprocessors', 'multiplying', 'matlab', 'arithmetic']"
31,3.0,"['arrows', 'sinusoidal', 'simplifications', 'integers', 'audio', 'multiplications', 'mathematical', 'multipliers', 'cd', 'polynomials']"
32,3.1,"['overflow', 'mathematically', 'big', 'sinusoidal', 'useful', 'shading', 'engineering', 'mathematical', 'fast', 'algorithms']"
33,3.11,"['demonstrations', 'microprocessors', 'delays', 'integers', 'mathematical', 'multipliers', 'homework', 'polynomials', 'reordering', 'reconsider']"
34,3.2,"['arrows', 'motivate', 'sinusoidal', 'polynomials', 'cd', 'arithmetic', 'converter', 'sampled', 'tools', 'algorithms']"
35,3.3,"['sampling', 'sinusoidal', 'pairwise', 'con2dis', 'algorithms', 'reconsider', 'weekly', 'polynomials', 'multiplications', 'integers']"
36,3.4,"['computing', 'multiplier', 'multipliers', 'sinusoids', 'polynomial', 'sinusoidal', 'mathematical', 'arithmetic', 'algorithms', 'integers']"
37,3.5,"['microprocessors', 'homework', 'equations', 'compilers', 'con2dis', 'polynomial', 'arithmetic', 'multiplying', 'integers', 'mathematical']"
38,3.6,"['pairwise', 'multipliers', 'microprocessors', 'polynomial', 'matlab', 'tools', 'optimized', 'integers', 'arithmetic', 'mathematical']"
39,3.7,"['algebraic', 'polynomial', 'mathematical', 'arithmetic', 'rich', 'optimized', 'polynomials', 'algorithms', 'worthwhile', 'useful']"
40,3.8,"['mathematically', 'delays', 'polynomial', 'sinusoids', 'multiplications', 'sinusoidal', 'reconsider', 'shading', 'polynomials', 'algorithms']"
41,3.9,"['invariance', 'speed', 'exponential', 'worthwhile', 'optimized', 'smoother', 'long', 'fast', 'audio', 'rich']"
42,4.0,"['reconstruction', 'count', 'arithmetic', 'engineering', 'compilers', 'polynomials', 'sampled', 'hardware', 'cd', 'audio']"
43,4.1,"['pipelining', 'microprocessor', 'microprocessors', 'audio', 'polynomials', 'sampled', 'sinusoidal', 'shading', 'arithmetic', 'mathematical']"
44,4.2,"['sinusoidal', 'sinusoids', 'compilers', 'cd', 'integer', 'computing', 'filtering', 'multiplications', 'audio', 'polynomials']"
45,4.3,"['microprocessors', 'easily', 'sinusoidal', 'computer', 'mathematical', 'shading', 'pipelining', 'rich', 'fast', 'tools']"
46,4.4,"['polynomial', 'linear', 'invariance', 'optimized', 'converter', 'reconsider', 'polynomials', 'algorithms', 'sampled', 'audio']"
47,4.5,"['mathematically', 'optimized', 'mathematical', 'filtering', 'reconsider', 'polynomials', 'insight', 'sampled', 'audio', 'algorithms']"
48,4.6,"['classes', 'sampled', 'tools', 'hardware', 'mathematical', 'aliasing', 'lab', 'homework', 'demo', 'microprocessors']"
49,5.0,"['mathematical', 'multipliers', 'algebraic', 'microprocessors', 'multiplications', 'reconsider', 'graph', 'sampling', 'polynomial', 'filters']"
50,5.1,"['memory', 'compilers', 'microprocessors', 'mathematically', 'reconsider', 'mathematical', 'reordering', 'multiplications', 'transform', 'sampling']"
51,5.2,"['polynomials', 'hour', 'homework', 'recovered', 'mathematical', 'rapid', 'daily', 'arithmetic', 'shading', 'weekly']"
52,5.3,"['aliasing', 'reconsider', 'error', 'algorithms', 'causality', 'equations', 'convolving', 'algebraic', 'polynomial', 'polynomials']"
53,5.4,"['compilers', 'motivate', 'polynomials', 'graph', 'reordering', 'matlab', 'engineering', 'laboratory', 'reconsider', 'lab']"
54,5.5,"['mathematical', 'interconnection', 'reconstruction', 'mathematically', 'helping', 'insight', 'commutative', 'optimized', 'reconsider', 'algorithms']"
55,5.6,"['dconvdemo', 'multiplications', 'filters', 'arithmetic', 'linear', 'mathematical', 'digital', 'sampling', 'matlab', 'con2dis']"
56,5.7,"['generalization', 'algorithm', 'multiplier', 'implemented', 'converter', 'transforming', 'pairwise', 'commutative', 'superposition', 'con2dis']"
57,5.8,"['1950', 'fashion', 'polynomials', 'graph', 'rich', 'billions', '1897', 'fir', 'investors', 'economists']"
58,5.9,"['con2dis', 'aliasing', 'fir', 'engineering', 'slide', 'homework', 'graph', 'polynomials', 'lab', 'microprocessors']"
59,6.0,"['audio', 'filters', 'sinusoidal', 'sampled', 'invariance', 'sinusoids', 'algebraic', 'integers', 'mathematical', 'algorithms']"
60,6.1,"['insight', 'filters', 'linear', 'smoother', 'mathematical', 'algebraic', 'optimized', 'algorithms', 'polynomial', 'polynomials']"
61,6.2,"['easily', 'mathematically', 'multipliers', 'mathematical', 'worthwhile', 'audio', 'polynomial', 'rich', 'polynomials', 'algorithms']"
62,6.3,"['reconsider', 'rich', 'necessary', 'worthwhile', 'mathematical', 'fast', 'algorithms', 'polynomials', 'polynomial', 'algebraic']"
63,6.4,"['algebraic', 'worthwhile', 'filters', 'useful', 'insight', 'polynomial', 'multipliers', 'optimized', 'polynomials', 'algorithms']"
64,6.5,"['manipulated', 'sinusoids', 'computational', 'sinusoidal', 'polynomials', 'audio', 'motivate', 'reconsider', 'shading', 'algorithms']"
65,6.6,"['polynomials', 'algorithm', 'sampling', 'equations', 'converter', 'multipliers', 'pairwise', 'interconnection', 'filters', 'con2dis']"
66,6.7,"['regularity', 'pipelining', 'audio', 'pairwise', 'polynomial', 'mathematical', 'multiplications', 'matlab', 'optimized', 'arithmetic']"
67,6.8,"['reordering', 'commutative', 'multipliers', 'polynomials', 'sample', 'audio', 'filters', 'algorithms', 'sampled', 'reconsider']"
68,6.9,"['pick', 'audio', 'commutative', 'converter', 'matlab', 'equations', 'polynomials', 'reordering', 'algorithms', 'reconsider']"
69,7.1,"['mathematical', 'multiplications', 'pipelining', 'polynomial', 'transforming', 'arithmetic', 'sinusoidal', 'shading', 'multipliers', 'audio']"
70,7.2,"['sinusoids', 'demo', 'polynomial', 'filtering', 'multiplications', 'cd', 'audio', 'mathematical', 'polynomials', 'sampled']"
71,7.3,"['audio', 'polynomials', 'transform', 'reconstruction', 'mathematically', 'mathematical', 'worthwhile', 'engineering', 'crucial', 'important']"
72,7.4,"['tools', 'smoother', 'polynomials', 'mathematical', 'polynomial', 'audio', 'practical', 'algorithms', 'filters', 'pairwise']"
73,7.5,"['algebraic', 'reconsider', 'filters', 'necessary', 'polynomial', 'delays', 'polynomials', 'shading', 'undesirable', 'algorithms']"
74,7.6,"['integers', 'microprocessor', 'shading', 'insight', 'microprocessors', 'tools', 'mathematical', 'simplifications', 'arithmetic', 'polynomials']"
75,7.7,"['commutative', 'compilers', 'motivate', 'mathematically', 'filtering', 'microprocessors', 'sampled', 'mathematical', 'polynomials', 'transform']"
76,8.1,"['algebraic', 'commutative', 'matlab', 'transform', 'computing', 'polynomial', 'mathematical', 'integers', 'arithmetic', 'multiplying']"
77,8.11,"['microprocessors', 'insights', 'sampling', 'computing', 'multiplication', 'polynomials', 'reordering', 'simplifications', 'multiplications', 'reconsider']"
78,8.2,"['arithmetic', 'audio', 'easily', 'polynomials', 'rich', 'smoother', 'algorithms', 'polynomial', 'worthwhile', 'mathematical']"
79,8.4,"['delays', 'study', 'designing', 'aliasing', 'indexing', 'shading', 'algorithm', 'reordering', 'algorithms', 'reconsider']"
80,8.5,"['commutative', 'mathematically', 'multipliers', 'tools', 'insight', 'mathematical', 'optimized', 'useful', 'worthwhile', 'algorithms']"
81,8.6,"['multipliers', 'arithmetic', 'transform', 'multiplier', 'computing', 'sampling', 'integers', 'compilers', 'mathematical', 'polynomials']"
82,8.7,"['reconsider', 'sinusoidal', '10', 'audio', 'cd', 'hundreds', 'polynomials', 'weekly', 'integers', '1950']"
83,8.8,"['count', 'digital', 'integers', 'complete', 'con2dis', 'mathematical', 'polynomials', 'arithmetic', 'infinite', 'finite']"
84,8.9,"['crucial', 'polynomial', 'big', 'hour', 'algorithms', 'sinusoidal', 'billions', 'reconsider', 'integers', 'polynomials']"
85,9.0,"['economists', 'commutative', 'matlab', 'compilers', 'microprocessors', 'arithmetic', 'mathematical', 'integers', 'algebraic', 'polynomial']"
86,9.1,"['transform', 'equations', 'computing', 'arithmetic', 'multiplying', 'mathematical', 'commutative', 'integers', 'algebraic', 'polynomial']"
87,9.2,"['polynomial', 'satisfies', 'interconnection', 'audio', 'linear', 'pairwise', 'polynomials', 'equations', 'optimized', 'algorithms']"
88,9.3,"['polynomial', 'reordering', 'multiplications', 'pick', 'sampling', 'insights', 'superposition', 'commutative', 'polynomials', 'algorithms']"
89,9.4,"['ideas', 'nonlinear', 'converter', 'delays', 'sinusoids', 'sinusoidal', 'reordering', 'algorithms', 'reconsider', 'algorithm']"
90,9.5,"['reordering', 'substituting', 'filter', 'filtering', 'sampling', 'deriving', 'input', 'algorithm', 'multiplication', 'multiplications']"
91,9.6,"['commutative', 'regularity', 'algorithm', 'audio', 'proven', 'smoother', 'linearity', 'insight', 'worthwhile', 'pairwise']"
92,9.7,"['integers', 'insight', 'sampled', 'pairwise', 'filters', 'polynomial', 'reconsider', 'optimized', 'polynomials', 'algorithms']"
93,9.8,"['reconstruction', 'worthwhile', 'tools', 'mathematical', 'reconsider', 'shading', 'polynomials', 'useful', 'polynomial', 'algebraic']"
94,9.9,"['linear', 'algorithm', 'regularity', 'smoother', 'useful', 'polynomials', 'algorithms', 'worthwhile', 'pairwise', 'commutative']"
95,10.0,"['exponential', 'reconstruction', '1970', 'commutative', 'con2dis', 'sampling', 'ideas', 'reconsider', 'new', 'algorithms']"
96,10.1,"['polynomials', 'easily', 'mathematical', 'rich', 'con2dis', 'crucial', 'pairwise', 'worthwhile', 'polynomial', 'algorithms']"
97,10.11,"['multiplying', 'invariance', 'smoother', 'filters', 'worthwhile', 'tools', 'polynomials', 'shading', 'useful', 'algorithms']"
98,10.12,"['important', 'rapid', 'mathematical', 'overflow', 'shading', 'fast', 'algebraic', 'polynomial', 'polynomials', 'algorithms']"
99,10.2,"['multiplications', 'algebraic', 'polynomial', 'linear', 'arithmetic', 'reconsider', 'polynomials', 'pairwise', 'optimized', 'mathematical']"
100,10.3,"['arithmetic', 'sinusoidal', 'sinusoids', 'graph', 'con2dis', 'commutative', 'fir', 'mathematical', 'algorithms', 'integers']"
101,10.4,"['microprocessors', 'useful', 'microprocessor', 'pairwise', 'smoother', 'homework', 'algebraic', 'shading', 'arithmetic', 'polynomials']"
102,10.5,"['causality', 'engineering', 'shading', 'invariance', 'polynomials', 'audio', 'optimized', 'reconsider', 'algorithms', 'equations']"
103,10.6,"['filters', 'compilers', 'matlab', 'reconsider', 'sampling', 'reordering', 'polynomials', 'con2dis', '1897', 'algorithms']"
104,10.7,"['advancing', 'mathematically', 'needed', 'superposition', 'mathematical', 'multipliers', 'demonstrations', '1897', 'algorithms', 'reconsider']"
105,10.8,"['smoothed', 'linear', 'satisfies', 'pointwise', 'identical', 'constant', 'continuous', 'invariant', 'smoother', 'optimized']"
106,10.9,"['translate', 'superposition', 'filters', 'reordering', 'pipelining', 'matlab', 'reconsider', 'polynomials', 'algorithms', 'con2dis']"
