,sub_chapter,keywords
0,-2.7,"['lab', 'multiplication', 'labs', 'matlab', 'algebra']"
1,-2.6,"['multiplied', 'circle', 'polynomial', 'integer', 'trigonometric']"
2,-2.5,"['triangle', 'geometric', 'plotting', 'multiplication', 'algebraic']"
3,-2.4,"['scientific', 'multiplication', 'algebraic', 'arithmetic', 'algebra']"
4,-2.3,"['rewritten', 'euler', 'formulas', 'discovery', 'exponential']"
5,-2.2,"['multiplying', 'sinusoidal', 'integer', 'algebraic', 'mathematical']"
6,-2.1,"['solve', 'numbers', 'equation', 'equations', 'quadratic']"
7,-2.0,"['arithmetic', 'trigonometry', 'algebra', 'mathematical', 'mathematicians']"
8,-1.7,"['mathematics', 'efficient', 'algorithm', 'toolboxes', 'programmers']"
9,-1.6,"['keyboard', 'typing', 'matlabs', 'filename', 'matlab']"
10,-1.5,"['notepad', 'typing', 'matlab', 'linux', 'unix']"
11,-1.4,"['constructs', 'function', 'programming', 'toolbox', 'matlab']"
12,-1.3,"['laboratory', 'movies', 'matlab', 'graph2d', 'graph3d']"
13,-1.2,"['multiplication', 'arithmetic', 'matrix', 'matlab', 'matrices']"
14,-1.1,"['matlab', 'matlabs', 'tutorials', 'browser', 'helpdesk']"
15,-1.0,"['toolboxes', 'laboratory', 'toolbox', 'matlab', 'mathworks']"
16,1.0,"['recording', 'communication', 'speech', 'computers', 'audio']"
17,1.1,"['signals', 'waveform', 'microphone', 'speech', 'telecommunication']"
18,1.2,"['electronic', 'new', 'sampler', 'mathematically', 'mathematical']"
19,1.3,"['recording', 'audio', 'loudspeakers', 'acoustic', 'amplifiers']"
20,1.4,"['audio', 'cd', 'trigonometry', 'algebra', 'mathematical']"
21,2.0,"['sinusoidal', 'basic', 'important', 'trigonometry', 'mathematical']"
22,2.1,"['mathematics', 'mathematical', 'musical', 'important', 'hard']"
23,2.2,"['sinusoidal', 'mathematical', 'trigonometry', 'calculus', 'trigonometric']"
24,2.3,"['integer', 'modulo', 'sinusoid', 'sinusoids', 'sinusoidal']"
25,2.4,"['sampling', 'matrices', 'matlabs', 'matlab', 'mathematical']"
26,2.5,"['useful', 'simplifications', 'simplify', 'algebraic', 'mathematical']"
27,2.6,"['trigonometric', 'exponentials', 'waveforms', 'sinusoidal', 'electrical']"
28,2.7,"['mathematical', 'oscilloscope', 'acoustic', 'tuning', 'physics']"
29,2.8,"['signal', 'waveform', 'waveforms', 'recording', 'tuning']"
30,2.9,"['laboratories', 'lab', 'labs', 'matlab', 'mathematical']"
31,3.0,"['exponential', 'amplitudes', 'sinusoidal', 'waveforms', 'amplitude']"
32,3.1,"['important', 'waveforms', 'extraordinarily', 'exponentials', 'powerful']"
33,3.11,"['modulation', 'labs', 'algorithm', 'homework', 'spectrograms']"
34,3.2,"['musical', 'khz', 'modulation', 'radio', 'audio']"
35,3.3,"['harmonics', 'spectrograms', 'periodicity', 'periodic', 'integer']"
36,3.4,"['mathematical', 'mathematicians', 'harmonically', 'integer', 'fouriers']"
37,3.5,"['graphical', 'drawing', 'sketch', 'synthesis', 'fourier']"
38,3.6,"['treatments', 'matlab', 'harmonically', 'harmonics', 'mathematical']"
39,3.7,"['strength', 'trigonometric', 'convenient', 'theorem', 'useful']"
40,3.8,"['oscillation', 'theorem', 'approximation', 'error', 'overshoot']"
41,3.9,"['instantaneous', 'resonates', 'sophisticated', 'intuitive', 'spectral']"
42,4.0,"['interpolation', 'sampled', 'cd', 'cds', 'audio']"
43,4.1,"['waveshape', 'mathematically', 'trigonometric', 'mathematica', 'mathematical']"
44,4.2,"['sinusoidal', 'waveform', 'sampled', 'spectral', 'sampling']"
45,4.3,"['flashing', 'automobile', 'electric', 'speed', 'engines']"
46,4.4,"['theorem', 'reconstruct', 'sampled', 'sampling', 'audio']"
47,4.5,"['bandlimited', 'sampled', 'sampling', 'interpolation', 'theorem']"
48,4.6,"['computer', 'homework', 'matlab', 'demo', 'labs']"
49,5.0,"['filter', 'ideas', 'computation', 'mathematical', 'filters']"
50,5.1,"['reconstruction', 'mathematically', 'computational', 'sampling', 'computation']"
51,5.2,"['hour', 'algorithm', 'daily', 'shading', 'everyday']"
52,5.3,"['polynomial', 'filtering', 'filter', 'polynomials', 'filters']"
53,5.4,"['computation', 'engineering', 'designing', 'lab', 'algorithms']"
54,5.5,"['insight', 'transformation', 'simplifications', 'algorithm', 'reconsider']"
55,5.6,"['derivation', 'sample', 'linear', 'summation', 'matlab']"
56,5.7,"['implementations', 'algorithm', 'applying', 'implemented', 'commutative']"
57,5.8,"['1897', 'fir', 'investors', 'stocks', 'economists']"
58,5.9,"['homework', 'filtering', 'laboratory', 'lab', 'matlab']"
59,6.0,"['fir', 'linear', 'filters', 'sinusoid', 'sinusoids']"
60,6.1,"['filter', 'sampling', 'normalized', 'linear', 'mathematical']"
61,6.2,"['algebraic', 'amplitude', 'exponential', 'intuitive', 'exponentials']"
62,6.3,"['transient', 'impractical', 'important', 'complex', 'exponential']"
63,6.4,"['interesting', 'function', 'filter', 'detectable', 'simplify']"
64,6.5,"['sinusoids', 'manipulation', 'sinusoidal', 'manipulations', 'plotting']"
65,6.6,"['input', 'algorithm', 'commutative', 'filters', 'multiplying']"
66,6.7,"['dirichlet', 'periodicity', 'matlab', 'handwritten', 'linear']"
67,6.8,"['sampled', 'reconstructs', 'reconstruct', 'interpolation', 'sampling']"
68,6.9,"['filters', 'decode', 'dialing', 'filtering', 'decoding']"
69,7.1,"['synthesized', 'transform', 'fourier', 'amplitude', 'waveforms']"
70,7.2,"['mathematical', 'transform', 'fourier', 'riemann', 'dirichlet']"
71,7.3,"['detection', 'important', 'multiplicative', 'riemann', 'motivated']"
72,7.4,"['practical', 'approximations', 'filters', 'lowpass', 'approximation']"
73,7.5,"['selective', 'filters', 'necessary', 'complicated', 'filterdesign']"
74,7.6,"['fourier', 'transform', 'modulation', 'useful', 'theorem']"
75,7.7,"['transforms', 'filter', 'filters', 'fourier', 'transform']"
76,8.1,"['multiplication', 'multiplying', 'multiplications', 'algorithm', 'algorithms']"
77,8.11,"['signals', 'simplify', 'fourier', 'computing', 'transform']"
78,8.2,"['computable', 'useful', 'simplifies', 'simplification', 'efficient']"
79,8.4,"['study', 'reconstructed', 'convolution', 'aliasing', 'reconsidering']"
80,8.5,"['important', 'transform', 'convenient', 'theorem', 'useful']"
81,8.6,"['synthesizes', 'fourier', 'analyzer', 'rewrite', 'riemann']"
82,8.7,"['harmonics', 'x4100', '4000', 'integer', '40']"
83,8.8,"['multiplication', 'dirichlet', 'infinite', 'finite', 'formulas']"
84,8.9,"['logarithmic', 'spectral', 'lengthening', 'long', 'spectrograms']"
85,9.0,"['multiplication', 'mathematical', 'algebraic', 'polynomial', 'polynomials']"
86,9.1,"['counts', 'numerical', 'transform', 'polynomial', 'polynomials']"
87,9.2,"['theorem', 'equation', 'multiplicative', 'filters', 'linear']"
88,9.3,"['transforms', 'transformation', 'superposition', 'multiplying', 'transform']"
89,9.4,"['shift', 'equation', 'computational', 'delays', 'transform']"
90,9.5,"['multiplication', 'transform', 'multiplying', 'factoring', 'factorization']"
91,9.6,"['convenient', 'precise', 'key', 'useful', 'intuitive']"
92,9.7,"['relatives', 'insight', 'filters', 'polynomial', 'conjugate']"
93,9.8,"['algebra', 'polynomial', 'achievable', 'algebraic', 'simplify']"
94,9.9,"['filters', 'linear', 'symmetric', 'symmetry', 'satisfies']"
95,10.0,"['insights', '10', 'recursive', 'new', 'transform']"
96,10.1,"['insight', 'polynomial', 'tedious', 'helpful', 'useful']"
97,10.11,"['lowpass', 'matlabs', 'filters', 'useful', 'sharper']"
98,10.12,"['transform', 'interactive', 'transforming', 'algebraic', 'polynomials']"
99,10.2,"['recursive', 'formulas', 'computing', 'linear', 'linearity']"
100,10.3,"['fir', 'equations', 'algebraic', 'polynomial', 'polynomials']"
101,10.4,"['rewrite', 'filter', 'tutorial', 'polynomial', 'polynomials']"
102,10.5,"['filter', 'informative', 'periodicity', 'equation', 'simplification']"
103,10.6,"['analysis', 'computing', 'transform', 'polynomials', 'algorithm']"
104,10.7,"['constructed', 'revisiting', 'superposition', 'combine', 'inverting']"
105,10.8,"['constant', 'practical', 'steady', 'stability', 'stable']"
106,10.9,"['matlabs', 'polynomials', 'algorithm', 'multiplying', 'transform']"
