source,target,value
1.0,1.1,0.023762376237623766
1.0,1.2,0.0
1.0,1.3,0.09108910891089109
1.0,1.4,0.20198019801980202
1.0,2.0,0.0
1.0,2.1,0.0
1.0,2.2,0.0
1.0,2.3,0.0
1.0,2.4,0.0
1.0,2.5,0.0
1.0,2.6,0.0
1.0,2.7,0.0
1.0,2.8,0.03564356435643565
1.0,2.9,0.0
1.0,3.0,0.0
1.0,3.1,0.0
1.0,3.11,0.0
1.0,3.2,0.00792079207920792
1.0,3.3,0.0
1.0,3.4,0.0
1.0,3.5,0.0
1.0,3.6,0.0
1.0,3.7,0.0
1.0,3.8,0.0
1.0,3.9,0.0
1.0,4.0,0.00792079207920792
1.0,4.1,0.0
1.0,4.2,0.0
1.0,4.3,0.0
1.0,4.4,0.007920792079207917
1.0,4.5,0.0
1.0,4.6,0.0
1.0,5.0,0.0
1.0,5.1,0.0
1.0,5.2,0.07920792079207922
1.0,5.3,0.0
1.0,5.4,0.0
1.0,5.5,0.11089108910891093
1.0,5.6,0.0
1.0,5.7,0.0
1.0,5.8,0.0
1.0,5.9,0.0
1.0,6.0,0.0
1.0,6.1,0.0
1.0,6.2,0.0
1.0,6.3,0.0
1.0,6.4,0.0
1.0,6.5,0.0
1.0,6.6,0.0
1.0,6.7,0.0
1.0,6.8,0.0
1.0,6.9,0.0
1.0,7.0,0.0
1.0,7.2,0.0
1.0,7.3,0.0
1.0,7.4,0.0
1.0,7.5,0.0
1.0,7.6,0.0
1.0,7.7,0.0
1.0,8.1,0.0
1.0,8.11,0.1108910891089109
1.0,8.2,0.0
1.0,8.4,0.0
1.0,8.5,0.0
1.0,8.6,0.0
1.0,8.7,0.0
1.0,8.8,0.0
1.0,8.9,0.0
1.0,9.0,0.0
1.0,9.1,0.0
1.0,9.2,0.0
1.0,9.3,0.0
1.0,9.4,0.0
1.0,9.5,0.0
1.0,9.6,0.0
1.0,9.7,0.0
1.0,9.8,0.0
1.0,9.9,0.0
1.0,10.0,0.0
1.0,10.1,0.0
1.0,10.11,0.0
1.0,10.12,0.0
1.0,10.2,0.0
1.0,10.3,0.0
1.0,10.4,0.0
1.0,10.5,0.0
1.0,10.6,0.0
1.0,10.7,0.0
1.0,10.8,0.0
1.0,10.9,0.0
1.1,1.2,0.2336633663366337
1.1,1.3,0.0
1.1,1.4,0.0
1.1,2.0,0.0
1.1,2.1,0.0
1.1,2.2,0.0
1.1,2.3,0.099009900990099
1.1,2.4,0.0
1.1,2.5,0.0
1.1,2.6,0.0
1.1,2.7,0.0
1.1,2.8,0.2514851485148515
1.1,2.9,0.0
1.1,3.0,0.0
1.1,3.1,0.0
1.1,3.11,0.0
1.1,3.2,0.0
1.1,3.3,0.0
1.1,3.4,0.0
1.1,3.5,0.0
1.1,3.6,0.0
1.1,3.7,0.0
1.1,3.8,0.0
1.1,3.9,0.12475247524752472
1.1,4.0,0.0
1.1,4.1,0.0
1.1,4.2,0.04950495049504952
1.1,4.3,0.0
