,sub_chapter,summarization
0,-2.7,"Chapter -2.7:  Summary and Links This appendix has presented a brief review of complex numbers and their visualization as vectors in the two-dimensional complex plane. The labs in Chapter 2 deal with various aspects of complex numbers, and also introduce MATLAB. In Lab #2, we also have included a number of MATLAB functions for plotting vectors from complex numbers ( zvect, zcat) and for changing between Cartesian and polar forms ( zprint). Lab: #2, Adding Sinusoids via Complex Amplitudes The Complex Numbers via MATLAB demo is a quick reference to these routines."
1,-2.6,Chapter -2.6: Graphical display of the th roots of unity ( ). These are the solutions of. Notice that there are only distinct roots. Graphical display of the th roots of unity ( ). These are the solutions of. Notice that there are only distinct roots. Plot all the solutions.
2,-2.5,"Chapter -2.5: Draw the vector from the origin to the head of. This vector is the sum. Complex multiplication becomes a rotation when. Complex multiplication becomes a rotation when. For the vectors shown, and."
3,-2.4,"Chapter -2.4: In rectangular form, all of these rules are relatively straightforward. The conjugate in polar form requires only a change of sign of the angle. An intermediate conversion to rectangular form must be done. Here is the recipe for adding complex numbers in polar form."
4,-2.3,"Chapter -2.3: A proof of Eulers formula based on power series is outlined in Problem 2.4 of Chapter ※. EXAMPLE:  Eulers Formula Here are some examples: EXAMPLE:  Degrees to Radians Referring back to Fig.~※, the three complex numbers can be rewritten as: Numbers like rad are difficult to visualize, because we are more used to thinking of angles in degrees. This is a good habit to adopt, because it simplifies the conversion between degrees and radians. If is given in radians, the conversion is Inverse Euler Formulas Eulers formula can be solved separately for the cosine and sine parts."
5,-2.2,"Chapter -2.2: The two basic types are polar form and rectangular form. Rectangular Form In rectangular form, all of the following notations define the same complex number. Rectangular form is also referred to as Cartesian form. Conversion: Rectangular and Polar Both the polar and rectangular forms are commonly used to represent complex numbers. At this point, the reader should convert to polar form the five complex numbers shown in Fig.~※."
6,-2.1,"Chapter -2.1:  Introduction A complex number system is an extension of the real number system. Complex numbers are necessary to solve equations such as The symbol is introduced to stand for, so the previous equation has the two solutions. More generally, complex numbers are needed to solve for the two roots of a quadratic equation which, according to the quadratic formula, has the two solutions: Whenever the discriminant is negative, the solution must be expressed as a complex number. For example, the roots of are, because"
7,-2.0,"Chapter -2.0:  CHAPTER -2 Complex Numbers  The basic manipulations of complex numbers are reviewed in this appendix. The algebraic rules for combining complex numbers are reviewed, and then a geometric viewpoint is taken to visualize these operations by drawing vector diagrams. The algebraic rules for are, in effect, the basic rules of vector operations. Skill in algebraic manipulations is important, but the use of complex numbers in representation is more important in the long run. Complex numbers in electrical engineering are used as a convenience because when they stand for the sinusoidal signals they can simplify manipulations of the signals."
8,-1.7,"Chapter -1.7: For example, type angle type conv type trapz Copying the style of other (good) programmers is always an efficient way to improve your own knowledge of a computer language. The primary one is the use of for loops to perform simple operations over an entire matrix or vector. For example, if the operation is summing all the elements in a matrix, the difference between calling sum and writing a loop that looks like FORTRAN or C code can be astounding; the loop is unbelievably slow owing to the interpreted nature of MATLAB. Consider the three methods for matrix summation in Fig.~※. Three ways to add all the elements of a matrix. For example, a greater than test applied to a matrix returns a matrix of ones and zeros. For example, find( x > Limit ) will return the list of indices where the vector is greater than the Limit value."
9,-1.6,"Chapter -1.6:  Writing a MATLAB Function You can write your own functions and add them to the MATLAB environment. Illustration of a MATLAB function called clip.m. The name of the function should match the name of the M-file; if there is a conflict, it is the name of the M-file on the disk that is known to the MATLAB command environment. For clip the last line of the function assigns the clipped vector to y, so that the clipped vector is returned."
10,-1.5,"Chapter -1.5:  MATLAB Scripts Any expression that can be entered at the MATLAB prompt can also be stored in a text file and executed as a script. The file extension must be.m, and the script is executed in MATLAB simply by typing the filename (without the extension). These programs are usually called M-files. Here is an example:  tt = 0:0.3:4; xx = sin(0.7*pi*tt); subplot(2,1,1) plot( tt, xx ) title(Example of plot( tt, xx)) subplot(2,1,2) stem( tt, xx ) title(Example of stem( tt, xx))  If these commands are saved in a file named plotstem.m, then typing plotstem at the command prompt will run the file, and all eight commands will be executed as if they had been typed in at the command prompt."
11,-1.4,"Chapter -1.4: Here is the MATLAB equivalent: where x is a vector containing the elements. This example illustrates MATLAB in its most efficient form, where individual functions are combined to get the output. MATLAB Built-in Functions Many MATLAB functions operate on arrays just as easily as they operate on scalars. Descriptions and examples for each of these program constructs can be viewed by using the MATLAB help command."
12,-1.3,"Chapter -1.3: Figure Windows Whenever MATLAB makes a plot, it writes the graphics to a figure window. Any plot command executed in the command window will direct its graphical output to the active window. is also possible with the figure command, which does initialization of the plot window. Multiple Plots Multiple plots per window can be done with the subplot function."
13,-1.2,Chapter -1.2: This is very useful when dealing with large matrices. A scalar is a matrix with only one element; its size is. A vector is a matrix that has only one row or one column. This is an example of reshaping the matrix. Each element in the product matrix is calculated with an inner product.
14,-1.1,"Chapter -1.1:  MATLAB Help MATLAB provides an on-line help system accessible by using the help command. For example, to get information about the function filter, enter the following at the command prompt:  >> help filter  The command prompt is indicated by >> in the command window. The help command will return text information in the command window. The help system now has a Web-browser interface, so the commands helpdesk, helpwin and doc bring up this interface. When unsure about a command, use help."
15,-1.0,"Chapter -1.0:  CHAPTER -1 Programming in MATLAB MATLAB will be used extensively in the laboratory exercises on the CD-ROM and in Appendix ※. This appendix provides an overview of MATLAB and some of its capabilities. MATLAB has an extensive on-line help system, which can be used to answer any questions not answered in this brief presentation. MATLAB (short for Matrix Laboratory) is an environment for numerical analysis and computing. The language has also been extended by means of toolboxes containing additional functions for MATLAB. This appendix gives a brief overview of MATLAB for the purpose of programming."
16,1.0,"Chapter 1.0:  CHAPTER 1 Introduction This is a book about signals and systems. In general, systems operate on signals to produce new signals or new signal representations. Our goal in this text is to develop a framework wherein it is possible to make precise statements about both signals and systems. Specifically, we want to show that mathematics is an appropriate language for describing and understanding signals and systems."
17,1.1,"Chapter 1.1: Many signals are naturally thought of as a pattern of variations in time. This signal can be represented as a function of a single (time) variable,. Many, if not most, signals originate as continuous-time signals. Example of a signal that can be represented by a function of two spatial variables."
18,1.2,"Chapter 1.2: is operated on by the system (symbolized by the operator ) to produce the output. Consider a system such that the output signal is the square of the input signal. On the other hand, if the input and output of the system are both discrete-time signals (sequences of numbers) related by then the system would be a discrete-time system. Output of a squarer system for the speech signal input of Fig.~※."
19,1.3,"Chapter 1.3: This block diagram breaks the operation down into four subsystems. For the high-accuracy A-to-D converters used in precision audio systems, the difference between an A-to-D converter and our idealized C-to-D converter is slight, but the distinction is very important. Simplified block diagram for recording and playback of an audio CD. Systems like the CD audio system are all around us."
20,1.4,"Chapter 1.4:  The Next Step The CD audio system is a good example of a discrete-time system. Buried inside the blocks of Fig.~※ are many discrete-time subsystems and signals. While we do not promise to explain all the details of CD players or any other complex system, we do hope to establish the foundations for the understanding of discrete- and continuous-time signals and systems so that this knowledge can be applied to understanding components of more complicated systems. Subsequent chapters will introduce the concept of the frequency spectrum of a signal and the concept of filtering with a linear time-invariant system."
21,2.0,"Chapter 2.0: Collectively, such signals are called sinusoidal signals or, more concisely, sinusoids. The most general mathematical formula for a cosine signal is where denotes the cosine function that is familiar from the study of trigonometry. From it follows that is a mathematical function in which the angle of the cosine function is, in turn, a function of the variable. The parameters,, and are fixed numbers for a particular cosine signal."
22,2.1,"Chapter 2.1: This system is a tuning fork, an example of which is shown in Fig.~※. You should hear a distinct “hum” at the frequency designated for the tuning fork. The microphone  Picture of a tuning fork and a microphone. A typical plot is shown in Fig.~※ for an A–440 tuning fork."
23,2.2,"Chapter 2.2: The trigonometric functions sine and cosine take an angle as their argument. Basic properties of the sine and cosine functions. Both functions oscillate between and, and they repeat the same pattern periodically with period. Sine and cosine functions plotted versus angle. Both functions have a period of."
24,2.3,"Chapter 2.3: The result is: so we define the phase shift to be in. Derive the equations for the shifted signal. In summary, time shift is essentially a redefinition of the time origin of the signal. Let denote a cosine signal with zero phase shift."
25,2.4,"Chapter 2.4: For example, if we wish to plot a function such as which is shown in Fig.~※, we must evaluate at a discrete set of times,, where is an integer. If we do so, we obtain the sequence of samples where is called the sample spacing or sampling period, and is an integer. For example, the MATLAB statements n = -7:5; Ts = 0.005; tn = n*Ts; xn = 20*cos(80*pi*tn - 0.4*pi); plot(tn,xn) would create a row vector tn of 13 numbers between and spaced by the sampling period 0.005, and a row vector xn of samples of. However, we learn from this example that as the sampling period decreases, more samples are taken across one cycle of the periodic cosine signal. When, there are 5 samples per cycle; when there are 10 samples per cycle; and when, there are 250 samples per cycle. The choice of also depends on the frequency of the cosine signal, because it is the number of samples per cycle that matters in plotting. For example, if the frequency of the cosine signal were 2000 Hz instead of 40 Hz, then a sample spacing of would yield only 5 samples per cycle."
26,2.5,"Chapter 2.5: In it is clear that the real part of the complex exponential signal is a real cosine signal as defined in, and that its imaginary part is a real sine signal. Geometric view of complex multiplication. The complex number, which is aptly called the complex amplitude, is a polar representation created from the amplitude and the phase shift of the complex exponential signal. The complex amplitude is also called a phasor. The complex exponential signal defined in can also be written as where At a given instant in time,, the value of the complex exponential signal,, is a complex number whose magnitude is and whose argument is. Thus, another name for the complex exponential signal is rotating phasor. The complex amplitude of the positive frequency complex exponential signal is, and the complex amplitude of the negative frequency complex exponential is."
27,2.6,"Chapter 2.6: This is the sum. The phasor addition of the two signals is computed in four steps. Add the phasors of the individual signals to get. Two sinusoids and their sum,."
28,2.7,"Chapter 2.7: (a) Tuning fork. From the derivative properties of sine and cosine functions, we are motivated to try as a solution the function where the parameter is a constant that must be determined. Of two tuning forks having the same stiffness, the heavier one will produce a lower frequency. Demo: Tuning Fork General Solution to the Differential Equation There are many possible solutions to the tuning-fork differential equation. From this we can conclude that any scaled or time-shifted sinusoid with the correct frequency will satisfy the differential equation that describes the motion of the tuning forks tine."
29,2.8,"Chapter 2.8: We have seen by both theory and observation that a tuning fork generates a signal that can be represented mathematically as a sinusoidal signal. The actual waveform produced by a tuning fork is probably not exactly sinusoidal. Indeed, it is true that almost any signal can be represented as a sum of sinusoidal signals. A short segment of an orchestra music signal."
30,2.9,"Chapter 2.9:  Summary and Links We have introduced sinusoidal signals in this chapter. The value of the mathematical representation of a signal is twofold. Lab: #1 Introduction to MATLAB In connection with this chapter, two laboratories are found on the CDROM. Appendix ※ is also available for a quick overview of essential ideas about MATLAB. Labs #2a and #2b deal with sinusoids and phasor addition. Copies of the lab write-ups are also found on the CD-ROM."
31,3.0,"Chapter 3.0:  CHAPTER 3 Spectrum Representation  This chapter introduces the concept of the spectrum, a compact representation of the frequency content of a signal that is composed of sinusoids. In Chapter ※, we learned about the properties of sinusoidal waveforms of the form where } is a phasor, and we showed how phasors can simplify the addition of sinusoids of the same frequency. We will see that it is useful to show this information in a graphical representation. This visual form allows us to see interrelationships among the different frequency components and their relative amplitudes quickly and easily."
32,3.1,"Chapter 3.1: Spectrum plot for the signal. Units of frequency are Hz. The chirp signal is. If is constant, the frequency is zero."
33,3.11,"Chapter 3.11: Finally, we ended with a discussion of how the spectrum can vary with time. Among the laboratory projects on the CD-ROM are three devoted to different aspects of the spectrum. The second (Lab #4) requires students to develop a music synthesis program to play a piece such as Bachs “Jesu, Joy of Mans Desiring.” This synthesis must be done with sinusoids, but can be refined with extras such as a tapered amplitude envelope. Finally, Lab #5 deals with beat notes, chirp signals, and spectrograms. The second part of this lab involves a music synthesis method based on frequency modulation. Write-ups of the labs can be found on the CD-ROM."
34,3.2,"Chapter 3.2: Beat note with Hz and Hz. The cosine wave in is called the carrier signal, and its frequency is called the carrier frequency. AM signal Hz and Hz. AM signal Hz and Hz. Derive the spectrum of and plot it as a function of frequency."
35,3.3,"Chapter 3.3: For example, the signal has a period of sec., but its fundamental period is sec. Sum of all five terms in Table~※. The plot consists of three lines, each one containing 2 sec of the signal. The plot of in Fig.~※ shows that is not periodic. Sum of cosine waves of harmonic frequencies. The fundamental frequency of is 10 Hz. Sum of cosine waves of harmonic frequencies. The fundamental frequency of is 10 Hz."
36,3.4,"Chapter 3.4: The complex exponential in has a frequency equal to Hz, so all the frequencies are integer multiples of the fundamental frequency Hz. Fourier Series: Analysis How do we derive the coefficients for the harmonic sum, i.e., how do we go from to ? The answer is that we use the Fourier series integral to perform Fourier analysis. The complex amplitudes for any periodic signal can be calculated with the Fourier integral where is the fundamental period of. The Fourier integral is convenient if we have a formula that defines over one period. Fourier Series Derivation In this section, we present a derivation of the Fourier Series integral formula."
37,3.5,"Chapter 3.5: In order to illustrate this general connection between the Fourier Series and the spectrum, we use the “sine-cubed” signal. Spectrum of the “sine-cubed” signal derived from its Fourier Series coefficients. The complex amplitude of each spectrum line is equal to the Fourier Series coefficient for that frequency,. Use the Fourier integral to determine all the Fourier Series coefficients of the “sine-cubed” signal."
38,3.6,"Chapter 3.6: Therefore, we must evaluate separately using The formula for when has a numerator that is either 0 (for even) or 2 (for odd), because alternates between and. Therefore, the final answer for the Fourier series coefficients of the square wave has three cases: Notice that the formula for does not depend on the period,, but this is not usually the case. Spectrum for a Square Wave Figure~※ shows the spectrum for the 50 duty cycle square wave analyzed in when the fundamental frequency is 25 Hz. Spectrum of a square wave derived from its Fourier Series coefficients. Periodic triangle wave. Unlike the square wave, the triangle wave is a continuous signal. Therefore, it is easier to approximate the triangle wave with a finite Fourier sum."
39,3.7,"Chapter 3.7:  Parsevals Theorem One reason that the Fourier Series is so useful is that there is an equivalence between the sum of the squares of the Fourier coefficients and the signal power. The average power of the periodic signal is the total energy of one period of divided by the duration of the period. The average power is a convenient measure of the size (or strength) of the signal. EXAMPLE Average Power in a Sinusoid. For the case where, the average power integral  can be evaluated directly."
40,3.8,"Chapter 3.8:  The Nature of the Fourier Series Approximation One consequence of Parsevals Theorem is that we can measure the approximation error when the Fourier Series expansion is truncated to the range. As shown in Fig.~※, Parsevals Theorem guarantees that the error power will get small whenever the signal has finite average power. If we define to be the signal formed by a finite sum of complex exponentials: then the error signal is. Thus the power in the overshoot is decreasing — in other words, there is convergence according to the squared error measure, which is confirmed in Fig.~※."
41,3.9,"Chapter 3.9: This leads us to the concept of a time–frequency spectrum or spectrogram. The notation itself is not completely obvious, but the horizontal “axis” in Fig.~※ is time, while the vertical axis is frequency. Sheet music notation is a time–frequency diagram. On the other hand, excellent numerical routines are now available for time–frequency analysis."
42,4.0,"Chapter 4.0:  CHAPTER 4 Sampling and Aliasing This chapter is concerned with the conversion of signals between the analog (continuous-time) and digital (discrete-time) domains. The primary objective of our presentation is an understanding of the Sampling Theorem, which states that when the sampling rate is greater than twice the highest frequency contained in the spectrum of the analog signal, the original signal can be reconstructed exactly from the samples. The process of converting from digital back to analog is called reconstruction. The reconstruction process is basically one of interpolation because we must “fill in” the missing signal values between the sample times by constructing a smooth curve through the discrete-time sample values."
43,4.1,"Chapter 4.1: It is also common to refer to such signals as analog signals because both the signal amplitude and the time variable are assumed to be real (not discrete) numbers. It is a normalized version of the continuous-time radian frequency with respect to the sampling frequency. It is an alias. The frequency of is, while the frequency of is. There are many more frequency aliases as the following problem suggests. Show that is an alias of. There are other aliases. Show that the signal is an alias of the signal."
44,4.2,"Chapter 4.2: These are what we have called the principal alias frequencies, and in Fig.~※ these are the frequency components that fall inside the dashed box shown in the bottom panel, i.e.,. These are at, so we calculate the output spectrum lines at Hz. The analog frequency of the reconstructed output will be Hz. The output frequency will be equal to the input frequency. Now consider the input frequency increasing from to."
45,4.3,"Chapter 4.3: Six successive positions of the spot for a very high flashing rate. This is aliasing because the spot makes exactly one revolution between flashes and therefore is always at the same position when illuminated by the strobe. This is not the only flash rate for which the spot will appear to stand still. Six successive positions of the spot for a flashing rate that aliases the spot motion. The frequency of the motor rotation is constant, as is the radius. The frequency is the rotation rate of the motor in rpm. What is the maximum flashing rate for this case?"
46,4.4,"Chapter 4.4: Interpolation with Pulses How does the D-to-C converter work? Four different pulses for D-to-C conversion. D-to-C conversion using a square pulse. Thus, using a square pulse in is D-to-C conversion, but not ideal D-to-C conversion. D-to-C conversion using a triangular pulse, or linear interpolation. D-to-C conversion using a cubic-spline pulse. D-to-C conversion using a square pulse. D-to-C conversion using a cubic-spline pulse at samples/sec."
47,4.5,"Chapter 4.5:  The Sampling Theorem This chapter has discussed the issues that arise in sampling continuous-time signals. Sampling and reconstruction system. Such signals could be represented as where each of the individual signals is of the form and it is assumed that the frequencies are ordered so that and. If we sample the signal represented by and, we obtain where with."
48,4.6,"Chapter 4.6:  Summary and Links This chapter introduced the concept of sampling and the companion operation of reconstruction. With sampling, the possibility of aliasing always exists, and we have created the strobe demo to illustrate that concept in a direct and intuitive way. Synthetic strobe demos produced as MATLAB movies. Reconstruction movies that show the interpolation process for different pulse shapes and different sampling rates. A sampling and aliasing MATLAB GUI called con2dis, shown in Fig.~※. Aliasing and folding movies that show how the spectrum changes for different sampling rates."
49,5.0,"Chapter 5.0:  CHAPTER 5 FIR Filters Up to this point, we have focused our attention on signals and their mathematical representations. In this chapter, we begin to emphasize systems or filters. In this chapter, we introduce the class of FIR (finite impulse response) systems, or, as we will often refer to them, FIR filters. Our purpose in this chapter is to introduce the basic ideas of discrete-time systems and to provide a starting point for further study. The systems that we introduce in this chapter are the simplest to analyze."
50,5.1,"Chapter 5.1:  Discrete-Time Systems A discrete-time system is a computational process for transforming one sequence, called the input signal, into another sequence called the output signal. In the case of sampling, the input signal is a continuous-time signal and the output is a discrete-time signal, while for reconstruction the opposite is true. Now we want to begin to study discrete-time systems where the input and output are discrete-time signals. Since a discrete-time signal is a sequence of numbers, such operators can be described by giving a formula for computing the values of the output sequence from the values of the input sequence."
51,5.2,"Chapter 5.2: Therefore, one might take an average of the stock price over several days before looking for any trend. it is smoother than the input sequence. Output of running average filter,. Therefore, a filter that uses future values of the input is called noncausal. Therefore, the output does not change from zero before the input changes from zero. What is the support of the output for this input?"
52,5.3,"Chapter 5.3: There is another shaded interval of length samples at the end (after sample 40), where the filter window “runs off of” the input sequence. Unit Impulse Sequence The unit impulse is perhaps the simplest sequence because it has only one nonzero value, which occurs at. Shifted impulse sequence,. Unit Impulse Response Sequence When the input to the FIR filter is a unit impulse sequence,, the output is, by definition, the unit impulse response, which we will denote by. In the tabulated form, the impulse response is  0 1 2 3 0 1 0 0 0 0 0 0 0 0 0 0 In other words, the impulse response of the FIR filter is simply the sequence of difference equation coefficients."
53,5.4,"Chapter 5.4: Block-diagram structure for the third-order FIR filter. Determine the difference equation for the block diagram of Fig.~※. Other Block Diagrams Many block diagrams will implement the same FIR filter, in the sense that the external behavior from input to output will be the same. Transposed form block diagram structure for the third-order FIR filter."
54,5.5,"Chapter 5.5: Consider the example of the square-law system defined by. The output in Fig.~※ for this system is while Thus,, and the square-law system has been shown not to be linear. Systems that are not linear are called nonlinear systems. The FIR Case FIR Systems described by satisfy both the linearity and time invariance conditions. The FIR filter is an example of an LTI system. Not all LTI systems are described by, but all systems described by are LTI systems."
