source,target,value
acoustic,dictated,1
acoustic,zoomed,1
acoustic,applies,1
acoustic,associated,1
acoustic,straightforward,1
acoustic,integer,1
dictated,called,1
dictated,content,1
dictated,symmetric,1
zoomed,as,1
zoomed,implemented,1
zoomed,workspace,1
applies,hold,1
applies,separately,1
applies,should,1
associated,special,1
associated,phenomenon,1
associated,process,1
straightforward,would,1
straightforward,recall,1
straightforward,true,1
integer,also,1
integer,recall,1
integer,factor,1
