source,target,value
broadcasting,mentioned,1
broadcasting,durations,1
broadcasting,enable,1
broadcasting,negligible,1
broadcasting,assumptions,1
broadcasting,'or,1
mentioned,dbquit,1
mentioned,'programming,1
mentioned,perceived,1
durations,c.,1
durations,stand,1
durations,quantity,1
enable,kaiser,1
enable,vertically,1
enable,tends,1
negligible,inverting,1
negligible,tool,1
negligible,lead,1
assumptions,frames,1
assumptions,rigorous,1
assumptions,closings,1
'or,illustrative,1
'or,multimedia,1
'or,362,1
