source,target,value
calculates,'unit-delay,1
calculates,dbstop,1
calculates,midrange,1
calculates,factoring,1
calculates,'503,1
calculates,partner,1
'unit-delay,photographic,1
'unit-delay,realizable,1
'unit-delay,closing,1
dbstop,spectra,1
dbstop,48,1
dbstop,denote,1
midrange,observations,1
midrange,frequently,1
midrange,chosen,1
factoring,sharply,1
factoring,mx,1
factoring,heights,1
'503,'498,1
'503,'sampling,1
'503,'this,1
partner,keyboard,1
partner,imply,1
partner,'sinusoidal,1
