source,target,value
communication,respect,1
communication,equally,1
communication,14-point,1
communication,content,1
communication,devoted,1
communication,microprocessors,1
respect,its,1
respect,time,1
respect,each,1
equally,smooth,1
equally,low,1
equally,high,1
14-point,40,1
14-point,familiar,1
14-point,between,1
content,time,1
content,each,1
content,its,1
devoted,tone,1
devoted,added,1
devoted,columns,1
microprocessors,converters,1
microprocessors,cycle,1
microprocessors,graphics,1
