source,target,value
decoder,sweep,1
decoder,smallest,1
decoder,orange-colored,1
decoder,contrast,1
decoder,symbolic,1
decoder,expressing,1
sweep,primary,1
sweep,discontinuity,1
sweep,logical,1
smallest,equals,1
smallest,degree,1
smallest,amount,1
orange-colored,sweep,1
orange-colored,treatment,1
orange-colored,concentrate,1
contrast,14,1
contrast,gui,1
contrast,i,1
symbolic,satisfied,1
symbolic,first-difference,1
symbolic,included,1
expressing,sect,1
expressing,scales,1
expressing,hh,1
