source,target,value
defining,implementation,1
defining,produced,1
defining,cartesian,1
defining,being,1
defining,polynomial,1
defining,equivalent,1
implementation,down,1
implementation,digital,1
implementation,using,1
produced,product,1
produced,common,1
produced,produce,1
cartesian,discrete,1
cartesian,representations,1
cartesian,within,1
being,four,1
being,information,1
being,power,1
polynomial,equivalent,1
polynomial,passband,1
polynomial,simply,1
equivalent,four,1
equivalent,passband,1
