source,target,value
engines,-transformation,1
engines,strobed,1
engines,tone,1
engines,three-dimensional,1
engines,edge,1
engines,vary,1
-transformation,respectively,1
-transformation,presents,1
-transformation,containing,1
strobed,pulse,1
strobed,best,1
strobed,discrete,1
tone,columns,1
tone,tines,1
tone,changes,1
three-dimensional,finite-length,1
three-dimensional,frequencies,1
three-dimensional,alias,1
edge,argument,1
edge,waveform,1
edge,original,1
vary,describe,1
vary,starting,1
vary,shift,1
