source,target,value
evolving,t,1
evolving,lookup,1
evolving,summed,1
evolving,counter-clockwise,1
evolving,contributing,1
evolving,suffice,1
t,msize,1
t,k/n,1
t,m,1
lookup,compact,1
lookup,hearing,1
lookup,demos,1
summed,c.,1
summed,lacks,1
summed,complex-exponential,1
counter-clockwise,m,1
counter-clockwise,x,1
counter-clockwise,entry,1
contributing,inspection,1
contributing,reveals,1
contributing,feature,1
suffice,entries,1
suffice,restrictions,1
suffice,restrictive,1
