source,target,value
experimentally,illustrative,1
experimentally,fixed-point,1
experimentally,500,1
experimentally,220,1
experimentally,zone,1
experimentally,concern,1
illustrative,sharply,1
illustrative,folding,1
illustrative,computations,1
fixed-point,opportunity,1
fixed-point,cancel,1
fixed-point,sinusoid-out,1
500,25,1
500,solid,1
500,20,1
220,selected,1
220,toolbox,1
220,derivation,1
zone,computational,1
zone,freqz,1
zone,linearity,1
concern,440,1
concern,specific,1
concern,closed-form,1
