source,target,value
factorization,dotted,1
factorization,mouse,1
factorization,lolly,1
factorization,associate,1
factorization,assert,1
factorization,impression,1
dotted,instants,1
dotted,composed,1
dotted,discrete-time,1
mouse,posed,1
mouse,songs,1
mouse,superimpose,1
lolly,discrete-,1
lolly,750-rpm,1
lolly,vibrations,1
associate,originally,1
associate,definite,1
associate,splitting,1
assert,fix,1
assert,learned,1
assert,integrands,1
impression,evolved,1
impression,numerators,1
impression,billions,1
