source,target,value
fm,involves,1
fm,experiment,1
fm,frequency-domain,1
fm,instruments,1
fm,spectrogram,1
fm,your,1
involves,basic,1
involves,several,1
involves,gives,1
experiment,conversion,1
experiment,step,1
experiment,basic,1
frequency-domain,via,1
frequency-domain,basic,1
frequency-domain,short,1
instruments,frequency-domain,1
instruments,short,1
instruments,several,1
spectrogram,transition,1
spectrogram,problem,1
spectrogram,computer,1
your,type,1
your,become,1
your,after,1
