source,target,value
headphones,discussing,1
headphones,resume,1
headphones,realistic,1
headphones,throughout,1
headphones,stock,1
headphones,20.5,1
discussing,performed,1
discussing,observe,1
discussing,examine,1
resume,label,1
resume,notion,1
resume,state,1
realistic,designed,1
realistic,ii,1
realistic,magnitudes,1
throughout,labs,1
throughout,fir1,1
throughout,80,1
stock,designed,1
stock,motion,1
stock,over-sampled,1
20.5,discussing,1
20.5,decomposition,1
20.5,real-world,1
