source,target,value
impractical,advised,1
impractical,quotient,1
impractical,2.4,1
impractical,receive,1
impractical,overlapping,1
impractical,finite-precision,1
advised,'672,1
advised,power-of-two,1
quotient,documentation,1
quotient,extracted,1
quotient,thing.,1
2.4,black,1
2.4,middle,1
2.4,sec,1
receive,fluctuations,1
receive,demoivres,1
receive,smoothly,1
overlapping,others,1
overlapping,cos,1
overlapping,visible,1
finite-precision,construct,1
finite-precision,multiplied,1
finite-precision,compared,1
