source,target,value
informative,exponentiation,1
informative,hard,1
informative,even-indexed,1
informative,window-position,1
informative,recalling,1
informative,completes,1
exponentiation,care,1
exponentiation,superimposed,1
exponentiation,thesis,1
hard,turns,1
hard,used,1
hard,assumed,1
even-indexed,ups,1
even-indexed,generalized,1
even-indexed,to,1
window-position,capabilities,1
window-position,recovered,1
window-position,encompasses,1
recalling,carried,1
recalling,confidence,1
recalling,pick,1
completes,discrete-time,1
completes,signal,1
completes,determines,1
