source,target,value
instruments,frequency-domain,1
instruments,short,1
instruments,several,1
instruments,transition,1
instruments,multiplication,1
instruments,'',1
frequency-domain,via,1
frequency-domain,basic,1
frequency-domain,short,1
short,via,1
short,basic,1
several,via,1
several,gives,1
several,notes,1
transition,spectrogram,1
transition,problem,1
transition,rest,1
multiplication,gives,1
multiplication,via,1
multiplication,operations,1
'',problems,1
'',transition,1
'',spectrogram,1
