source,target,value
interactive,calculations,1
interactive,notable,1
interactive,observation,1
interactive,mind,1
interactive,day,1
interactive,obey,1
calculations,obey,1
calculations,widely,1
calculations,appear,1
notable,demonstrations,1
notable,examine,1
notable,problems,1
observation,may,1
observation,transformation,1
observation,our,1
mind,demonstrations,1
mind,day,1
mind,subtraction,1
day,fraction,1
day,manipulations,1
day,adder,1
obey,hold,1
obey,remainder,1
obey,equations,1
