source,target,value
inverting,higher-order,1
inverting,early,1
inverting,things,1
inverting,options-,1
inverting,attention,1
inverting,overlap,1
higher-order,somewhat,1
higher-order,solution,1
higher-order,more,1
early,roots,1
early,type,1
early,still,1
things,distinct,1
things,identity,1
things,although,1
options-,naturally,1
options-,perform,1
options-,names,1
attention,lead,1
attention,although,1
attention,leads,1
overlap,requires,1
overlap,some,1
overlap,understanding,1
