source,target,value
lengthening,transmission,1
lengthening,labeling,1
lengthening,accessing,1
lengthening,parallelism,1
lengthening,unbelievably,1
lengthening,respond,1
transmission,staff,1
transmission,pieces,1
labeling,resolution,1
labeling,3.6,1
labeling,drops,1
accessing,construct,1
accessing,2320,1
accessing,concerns,1
parallelism,exponent,1
parallelism,speed,1
parallelism,price,1
unbelievably,hertz,1
unbelievably,denotes,1
unbelievably,over-sampled,1
respond,thing,1
respond,proportional,1
respond,is,1
