source,target,value
linearity,property,1
linearity,following,1
linearity,synthesize,1
linearity,block,1
linearity,spectrograms,1
linearity,illustration,1
property,convolution,1
property,simple,1
property,-transform,1
following,property,1
following,follows,1
synthesize,illustration,1
synthesize,spectrograms,1
block,filtering,1
block,matlab,1
block,synthesis,1
spectrograms,'to,1
spectrograms,illustration,1
spectrograms,parsevals,1
illustration,parsevals,1
illustration,hundreds,1
