source,target,value
linked,reference,1
linked,considering,1
linked,familiar,1
linked,maximum,1
linked,optimal,1
linked,essentially,1
reference,radians,1
reference,familiar,1
reference,dft,1
considering,two-dimensional,1
considering,directly,1
considering,computed,1
familiar,was,1
familiar,represents,1
familiar,with,1
maximum,peak,1
maximum,functions,1
maximum,passband,1
optimal,wave,1
optimal,number,1
optimal,determined,1
essentially,infinite,1
essentially,by,1
essentially,suddenly,1
