source,target,value
lowpass,running-average,1
lowpass,second-order,1
lowpass,operator,1
lowpass,reconstruction,1
lowpass,diagram,1
lowpass,becomes,1
running-average,second-order,1
running-average,iir,1
second-order,another,1
second-order,feedback,1
second-order,operation,1
operator,via,1
operator,gives,1
operator,good,1
reconstruction,theorem,1
reconstruction,plotting,1
reconstruction,tuning,1
diagram,operator,1
diagram,contains,1
becomes,above,1
becomes,rotation,1
becomes,via,1
