source,target,value
normalized,imaginary,1
normalized,sinusoidal,1
normalized,fundamental,1
normalized,concept,1
normalized,responses,1
normalized,aliases,1
imaginary,poles,1
imaginary,components,1
imaginary,delay,1
sinusoidal,over,1
sinusoidal,functions,1
sinusoidal,sine,1
fundamental,since,1
fundamental,set,1
fundamental,aliases,1
concept,sinusoidal,1
concept,ideal,1
concept,computation,1
responses,components,1
responses,shifted,1
responses,domain,1
aliases,over,1
aliases,between,1
aliases,change,1
