source,target,value
oscilloscope,expectations,1
oscilloscope,chart,1
oscilloscope,'zero,1
oscilloscope,logically,1
oscilloscope,unit-circle,1
oscilloscope,interact,1
expectations,clock,1
expectations,black/gray,1
chart,warble,1
chart,subset,1
chart,built,1
'zero,resulted,1
'zero,designs,1
'zero,difficulty,1
logically,intuition,1
logically,continuous-variable,1
logically,'locations,1
unit-circle,engines,1
unit-circle,spatial,1
unit-circle,decay,1
interact,rewarded,1
interact,motivate,1
