source,target,value
periodic,sinusoid,1
periodic,corresponding,1
periodic,finite-length,1
periodic,continuous-time,1
periodic,negative,1
periodic,given,1
sinusoid,angle,1
sinusoid,amplitude,1
sinusoid,length,1
corresponding,phase,1
corresponding,negative,1
corresponding,values,1
finite-length,between,1
finite-length,original,1
finite-length,shifted,1
continuous-time,discrete-time,1
continuous-time,cosine,1
continuous-time,corresponding,1
negative,phase,1
negative,positive,1
given,which,1
given,obtained,1
given,related,1
