source,target,value
reconstructing,respect,1
reconstructing,located,1
reconstructing,three-dimensional,1
reconstructing,considering,1
reconstructing,connect,1
reconstructing,exactly,1
respect,its,1
respect,time,1
respect,each,1
located,its,1
located,equal,1
located,exactly,1
three-dimensional,finite-length,1
three-dimensional,frequencies,1
three-dimensional,alias,1
considering,two-dimensional,1
considering,directly,1
considering,computed,1
connect,restoring,1
connect,having,1
connect,tells,1
exactly,equal,1
exactly,reconstructed,1
exactly,finite,1
