source,target,value
reconstructs,associative,1
reconstructs,picture,1
reconstructs,harmonic,1
reconstructs,windowed,1
reconstructs,specific,1
reconstructs,becomes,1
associative,their,1
associative,showing,1
associative,inside,1
picture,rotation,1
picture,error,1
picture,direct,1
harmonic,becomes,1
harmonic,contains,1
harmonic,rotating,1
windowed,through,1
windowed,phasor,1
windowed,error,1
specific,another,1
specific,theorem,1
specific,before,1
becomes,above,1
becomes,rotation,1
becomes,via,1
