source,target,value
resonates,intermediate,1
resonates,merely,1
resonates,appropriate,1
resonates,taken,1
resonates,contribution,1
resonates,depends,1
intermediate,valid,1
intermediate,impossible,1
intermediate,want,1
merely,display,1
merely,combine,1
merely,making,1
appropriate,does,1
appropriate,product,1
appropriate,should,1
taken,pole,1
taken,sample,1
taken,depends,1
contribution,goes,1
contribution,directly,1
contribution,computed,1
depends,sample,1
depends,pole,1
depends,between,1
