source,target,value
sharper,concerns,1
sharper,alone,1
sharper,passbands,1
sharper,clearly,1
sharper,higher-frequency,1
sharper,bandwidth,1
concerns,1024,1
concerns,producing,1
concerns,seem,1
alone,exponents,1
alone,ripples,1
alone,look,1
passbands,denominator,1
passbands,maximum,1
passbands,less,1
clearly,them,1
clearly,between,1
clearly,sample,1
higher-frequency,proportional,1
higher-frequency,verify,1
higher-frequency,sample,1
bandwidth,peak,1
bandwidth,horizontal,1
bandwidth,maximum,1
