source,target,value
simplification,transform,1
simplification,am,1
simplification,though,1
simplification,spectrogram,1
simplification,gain,1
simplification,fraction,1
transform,most,1
transform,pairs,1
transform,without,1
am,final,1
am,tuning,1
am,reconstruction,1
though,spectrogram,1
though,after,1
though,no,1
spectrogram,transition,1
spectrogram,problem,1
spectrogram,computer,1
gain,computer,1
gain,music,1
gain,than,1
fraction,problems,1
fraction,step,1
fraction,matlab,1
