source,target,value
simplifications,beginning,1
simplifications,length-10,1
simplifications,angular,1
simplifications,grid,1
simplifications,limited,1
simplifications,examining,1
beginning,dc,1
beginning,near,1
beginning,domain,1
length-10,reconstructed,1
length-10,each,1
length-10,applied,1
angular,th,1
angular,about,1
angular,while,1
grid,angular,1
grid,showing,1
grid,involves,1
limited,representations,1
limited,principal,1
limited,picture,1
examining,time-shifted,1
examining,25,1
examining,approximately,1
