source,target,value
sketch,habit,1
sketch,slope,1
sketch,conjugate-symmetric,1
sketch,input,1
sketch,elastic,1
sketch,reworking,1
habit,acceptable,1
habit,remarkable,1
habit,strategy,1
slope,input,1
slope,signal,1
slope,output,1
conjugate-symmetric,trapz,1
conjugate-symmetric,televisions,1
conjugate-symmetric,complex-conjugate,1
input,output,1
input,signal,1
input,sequence,1
elastic,symmetrical,1
elastic,obviously,1
elastic,unit-delay,1
reworking,hearing,1
reworking,built,1
reworking,nevertheless,1
