source,target,value
smoothed,manipulation,1
smoothed,equality,1
smoothed,disadvantage,1
smoothed,octaves,1
smoothed,128,1
smoothed,principle,1
manipulation,simple,1
manipulation,important,1
manipulation,approach,1
equality,83-hz,1
equality,beginning,1
equality,array,1
disadvantage,mean,1
disadvantage,something,1
disadvantage,exponentially,1
octaves,light,1
octaves,brackets,1
octaves,powers,1
128,derive,1
128,although,1
128,lead,1
principle,convolution,1
principle,notation,1
principle,plotting,1
