source,target,value
smoothing,regardless,1
smoothing,expresses,1
smoothing,confirmation,1
smoothing,justify,1
smoothing,'430,1
smoothing,pictorial,1
regardless,relating,1
regardless,overlapping,1
regardless,190.81,1
expresses,formats,1
expresses,expand,1
expresses,150,1
confirmation,graphically,1
confirmation,briskly,1
confirmation,acceptable,1
justify,can,1
justify,refer,1
justify,will,1
'430,'391,1
'430,infrequently,1
'430,graph3d,1
pictorial,observers,1
pictorial,regardless,1
pictorial,nonetheless,1
