source,target,value
symmetries,inversely,1
symmetries,simplification,1
symmetries,vectorized,1
symmetries,insight,1
symmetries,language,1
symmetries,provides,1
inversely,segments,1
inversely,elements,1
inversely,provides,1
simplification,transform,1
simplification,am,1
simplification,though,1
vectorized,hear,1
vectorized,done,1
vectorized,easily,1
insight,makes,1
insight,back,1
insight,much,1
language,much,1
language,many,1
language,more,1
provides,four,1
provides,being,1
provides,through,1
