source,target,value
synthesize,linearity,1
synthesize,illustration,1
synthesize,spectrograms,1
synthesize,following,1
synthesize,property,1
synthesize,filtering,1
linearity,property,1
linearity,following,1
illustration,spectrograms,1
illustration,parsevals,1
illustration,hundreds,1
spectrograms,'to,1
spectrograms,parsevals,1
following,property,1
following,follows,1
property,convolution,1
property,simple,1
property,-transform,1
filtering,matlab,1
filtering,synthesis,1
filtering,sounds,1
