source,target,value
synthesizes,started,1
synthesizes,beating,1
synthesizes,delay-compensated,1
synthesizes,intervals,1
synthesizes,time-frequency,1
synthesizes,engineering,1
started,sidelobes,1
started,demonstrate,1
started,needed,1
beating,division,1
beating,physical,1
beating,pointwise,1
delay-compensated,curve,1
delay-compensated,sec,1
delay-compensated,dashed,1
intervals,spaced,1
intervals,physical,1
intervals,without,1
time-frequency,small,1
time-frequency,code,1
time-frequency,makes,1
engineering,d-to-a,1
engineering,similar,1
engineering,high,1
