source,target,value
synthesizing,half,1
synthesizing,sinusoidal,1
synthesizing,computation,1
synthesizing,normalized,1
synthesizing,functions,1
synthesizing,away,1
half,functions,1
half,third,1
half,representations,1
sinusoidal,over,1
sinusoidal,functions,1
sinusoidal,sine,1
computation,passband,1
computation,functions,1
computation,band,1
normalized,imaginary,1
normalized,sinusoidal,1
normalized,fundamental,1
functions,large,1
functions,different,1
away,both,1
away,different,1
away,index,1
