source,target,value
tie,elliptic,1
tie,button,1
tie,converts,1
tie,double-check,1
tie,simultaneous,1
tie,occasions,1
elliptic,button,1
elliptic,incrementally,1
elliptic,generated,1
button,feed-forward,1
button,plane,1
button,matches,1
converts,brief,1
converts,drawing,1
converts,exceedingly,1
double-check,word,1
double-check,removed,1
double-check,reverse,1
simultaneous,-2.793,1
simultaneous,description,1
simultaneous,prior,1
occasions,rapid,1
occasions,plane,1
occasions,possibilities,1
