source,target,value
trapezoidal,outlined,1
trapezoidal,time-flip,1
trapezoidal,'program,1
trapezoidal,ubiquitous,1
trapezoidal,data-trigger=,1
trapezoidal,-1.204,1
outlined,feed-forward,1
outlined,loops,1
outlined,bandpass,1
time-flip,'636,1
time-flip,toggle,1
time-flip,'912,1
'program,256,1
'program,+,1
'program,1.532,1
ubiquitous,256,1
ubiquitous,day,1
ubiquitous,simplifications,1
data-trigger=,constraint,1
data-trigger=,appear,1
data-trigger=,separately,1
-1.204,;,1
-1.204,ii,1
-1.204,fft,1
