source,target,value
vibration,190.81,1
vibration,varies,1
vibration,intrinsically,1
vibration,instants,1
vibration,oscillate,1
vibration,satisfactory,1
190.81,performed,1
190.81,quickly,1
190.81,cycle,1
varies,and,1
varies,filtered,1
varies,where,1
intrinsically,tiny,1
intrinsically,export,1
intrinsically,groups,1
instants,mapped,1
instants,resulting,1
instants,higher,1
oscillate,analog,1
oscillate,40,1
oscillate,line,1
satisfactory,doubly,1
satisfactory,25,1
satisfactory,appendix,1
